MCDPRCT, PrecinctName                        , WD, CG, LEG, CM, SW, SchoolDistrict, S1, S2, C, V, McdName                                    , JD, MCD  , PRCT, CC, FIPS , 7AM , EDR , Sigs, RegMilAb, FedAb, PresAb, TotVoters, VSCode, VSDescription     , EquipmentModel    , USPresGP, USPresR, USPresDFL, USPresSE, USPresSW, USPresCF, USPresBL, USPresC, USPresL, USPresWI, USCongGr, USCongI, USCongR, USCongDFL, USCongWI, MNLegGr, MNLegI, MnLegR, MnLegDFL, MnLegWI, AJSC2HelenMeyer, AJSC2WI, AJSC5SamHanson, AJSC5WI, AJSC6AlanPage, AJSC6SamTinglestad, AJSC6WI, JCOA2NatalieHudson, JCOA2WI, JCOA3DavidMinge, JCOA3PaulRoss, JCOA3WI, JCOA14DanielGriffith, JCOA14RARandall, JCOA14WI, , 
0500050, GLEN TWP                            ,   , 08, 03B, 03, 00,           0001, 00, 00, N, O, Glen township                              , 09,   050, 0050, 01, 23930,  303,   46,  249,       62,     0,      0,       311,      2, Precinct Tabulator, Model 100         ,        0,     145,       161,        0,        0,        0,        2,       0,       0,        0,        5,       0,      95,       196,        0,       0,      0,    129,      173,       0,             226,       0,            217,       0,           204,                 76,       1,                219,       1,             166,            87,       0,                   86,             160,        0, , 
0550055, HAUGEN TWP                          ,   , 08, 03B, 04, 00,           0004, 00, 00, N, O, Haugen township                            , 09,   055, 0055, 01, 27602,  126,   18,  108,        9,     0,      0,       117,      3, Hand Count        , Not Applicable    ,        0,      52,        64,        0,        0,        0,        0,       0,       1,        0,        3,       0,      40,        71,        0,       0,      0,     48,       65,       0,              69,       0,             66,       0,            71,                 31,       0,                 80,       0,              53,            37,       0,                   41,              49,        0, , 
0600060, HAZELTON TWP                        ,   , 08, 03B, 02, 00,           0001, 00, 00, N, O, Hazelton township                          , 09,   060, 0060, 01, 28052,  530,   72,  423,       74,     0,      0,       497,      2, Precinct Tabulator, Model 100         ,        0,     265,       221,        0,        0,        0,        2,       0,       1,        0,        7,       0,     207,       254,        1,       0,      0,    256,      217,       1,             328,       4,            313,       4,           283,                144,       0,                311,       3,             239,           146,       0,                  177,             193,        0, , 
0650065, HILL CITY                           ,   , 08, 03B, 05, 00,           0002, 00, 00, N, O, Hill City city                             , 09,   065, 0065, 01, 29096,  329,   50,  250,       17,     0,      0,       267,      2, Precinct Tabulator, Model 100         ,        0,     105,       156,        0,        0,        0,        4,       0,       1,        0,        5,       0,      76,       177,        1,       0,      0,    100,      157,       1,             203,       2,            199,       2,           155,                 73,       0,                198,       1,             140,            76,       0,                   86,             127,        0, , 
0700070, HILL LAKE TWP                       ,   , 08, 03B, 05, 00,           0002, 00, 00, N, O, Hill Lake township                         , 09,   070, 0070, 01, 29114,  233,   42,  221,       13,     0,      0,       234,      2, Precinct Tabulator, Model 100         ,        0,     111,       116,        0,        0,        1,        2,       3,       0,        0,        3,       0,      79,       145,        0,       0,      0,    108,      122,       0,             169,       0,            166,       0,           145,                 56,       0,                166,       0,             100,            91,       0,                   90,              97,        0, , 
0750075, IDUN TWP                            ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Idun township                              , 09,   075, 0075, 01, 30788,  124,   23,  111,        6,     0,      0,       117,      3, Hand Count        , Not Applicable    ,        0,      52,        63,        0,        0,        0,        0,       0,       0,        0,        2,       0,      33,        76,        0,       0,      0,     42,       66,       0,              74,       0,             74,       0,            62,                 34,       0,                 74,       0,              45,            40,       0,                   41,              44,        0, , 
0800080, JEVNE TWP                           ,   , 08, 03B, 04, 00,           0004, 00, 00, N, O, Jevne township                             , 09,   080, 0080, 01, 31958,  194,   25,  174,       20,     1,      0,       195,      3, Hand Count        , Not Applicable    ,        0,     102,        91,        0,        0,        0,        2,       0,       0,        0,        2,       0,      66,       115,        0,       0,      0,     86,       98,       0,             134,       0,            125,       0,           102,                 53,       0,                126,       0,              94,            49,       0,                   55,              83,        0, , 
0820082, UNORG 45-24 (JEWETT UNORG)          ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Jewett Unorganized                         , 09,   082, 0082, 01, 31966,   20,    7,   23,        1,     0,      0,        24,      3, Hand Count        , Not Applicable    ,        0,       9,        13,        0,        0,        1,        0,       1,       0,        0,        0,       0,       9,        14,        0,       0,      0,      9,       14,       0,              18,       0,             18,       0,            12,                  6,       0,                 17,       0,              16,             3,       0,                   11,               8,        0, , 
0850085, KIMBERLY TWP                        ,   , 08, 03B, 03, 00,           0001, 00, 00, N, O, Kimberly township                          , 09,   085, 0085, 01, 33218,  139,   18,  121,        7,     0,      0,       128,      2, Precinct Tabulator, Model 100         ,        1,      64,        61,        0,        0,        0,        1,       0,       0,        0,        7,       0,      36,        78,        0,       0,      0,     55,       65,       0,              77,       1,             77,       1,            74,                 36,       0,                 72,       1,              57,            38,       0,                   43,              47,        0, , 
0900090, LAKESIDE TWP                        ,   , 08, 03B, 03, 00,           0001, 00, 00, N, O, Lakeside township                          , 09,   090, 0090, 01, 34982,  358,   67,  306,       49,     0,      0,       355,      2, Precinct Tabulator, Model 100         ,        0,     179,       165,        0,        0,        0,        0,       0,       2,        1,        6,       0,     137,       200,        0,       0,      0,    166,      171,       0,             241,       1,            243,       2,           219,                 76,       2,                242,       3,             161,           116,       2,                  118,             150,        1, , 
0950095, LEE TWP                             ,   , 08, 03B, 03, 00,           0001, 00, 00, N, O, Lee township                               , 09,   095, 0095, 01, 36152,   36,    3,   36,        0,     0,      0,        36,      3, Hand Count        , Not Applicable    ,        0,      22,        14,        0,        0,        0,        0,       0,       0,        0,        0,       0,      13,        18,        0,       0,      0,     17,       17,       0,              12,       0,             12,       0,            16,                  6,       0,                 13,       0,               7,             7,       0,                    6,               7,        0, , 
1000100, LIBBY TWP E                         ,   , 08, 03B, 05, 00,           0004, 00, 00, N, O, Libby township                             , 09,   100, 0100, 01, 36908,   22,    3,   23,        0,     0,      0,        23,      3, Hand Count        , Not Applicable    ,        0,      17,         6,        0,        0,        0,        0,       0,       0,        0,        0,       0,       8,        11,        0,       0,      0,     11,       11,       0,              13,       0,             12,       0,            11,                  8,       0,                 12,       0,               8,             4,       0,                    6,               5,        0, , 
1000105, LIBBY TWP W                         ,   , 08, 03B, 05, 00,           0001, 00, 00, N, O, Libby township                             , 09,   100, 0105, 01, 36908,   14,    2,   14,        0,     0,      0,        14,      3, Hand Count        , Not Applicable    ,        1,       1,        12,        0,        0,        0,        0,       0,       0,        0,        0,       0,       0,        13,        0,       0,      0,      1,       13,       0,               8,       0,              8,       0,             8,                  2,       0,                  8,       0,               7,             2,       0,                    3,               5,        0, , 
1050110, LOGAN TWP                           ,   , 08, 03B, 05, 00,           0001, 00, 00, N, O, Logan township                             , 09,   105, 0110, 01, 37844,  120,   19,   94,        4,     0,      0,        98,      3, Hand Count        , Not Applicable    ,        0,      42,        53,        0,        0,        0,        1,       0,       0,        0,        1,       0,      25,        67,        0,       0,      0,     37,       59,       0,              65,       0,             63,       0,            52,                 23,       0,                 62,       0,              42,            26,       0,                   27,              40,        0, , 
1100115, MCGRATH                             ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, McGrath city                               , 09,   110, 0115, 01, 38996,   41,    9,   41,        2,     0,      0,        43,      3, Hand Count        , Not Applicable    ,        2,      23,        16,        0,        0,        1,        1,       0,       0,        0,        1,       0,      12,        27,        0,       0,      0,     16,       21,       0,              31,       0,             31,       0,            22,                 11,       0,                 30,       0,              23,             8,       0,                   13,              18,        0, , 
1140120, MCGREGOR                            ,   , 08, 03B, 04, 00,           0004, 00, 00, N, O, McGregor city                              , 09,   114, 0120, 01, 39014,  197,   54,  183,        7,     0,      0,       190,      3, Hand Count        , Not Applicable    ,        0,      85,       100,        0,        0,        0,        1,       0,       0,        0,        7,       0,      53,       115,        0,       0,      0,     70,      108,       0,             127,       0,            121,       0,            94,                 56,       0,                121,       0,              89,            41,       0,                   56,              77,        0, , 
1150125, MCGREGOR TWP                        ,   , 08, 03B, 04, 00,           0004, 00, 00, N, O, McGregor township                          , 09,   115, 0125, 01, 39032,   69,    7,   48,        7,     0,      0,        55,      3, Hand Count        , Not Applicable    ,        0,      31,        24,        0,        0,        0,        0,       0,       0,        0,        0,       0,      19,        33,        0,       0,      0,     20,       29,       0,              30,       0,             30,       0,            22,                 21,       0,                 29,       0,              18,            21,       0,                   22,              17,        0, , 
1250130, MACVILLE TWP                        ,   , 08, 03B, 05, 00,           0002, 00, 00, N, O, Macville township                          , 09,   125, 0130, 01, 39212,  132,    7,   88,        5,     0,      0,        93,      3, Hand Count        , Not Applicable    ,        0,      43,        49,        0,        0,        0,        1,       0,       0,        0,        8,       0,      22,        55,        0,       0,      0,     34,       53,       0,              54,       0,             49,       0,            48,                 18,       0,                 49,       0,              33,            26,       0,                   22,              35,        0, , 
1320132, MILLWARD TWP                        ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Millward township                          , 09,   132, 0132, 01, 42300,   30,    1,   25,        0,     0,      0,        25,      3, Hand Count        , Not Applicable    ,        0,      12,        13,        0,        0,        0,        0,       0,       0,        0,        2,       0,      10,        15,        0,       0,      0,     12,       13,       0,              16,       1,             16,       1,            14,                  8,       0,                 17,       0,              10,             8,       0,                    7,              10,        0, , 
1300135, MALMO TWP                           ,   , 08, 03B, 02, 00,           0001, 00, 00, N, O, Malmo township                             , 09,   130, 0135, 01, 39590,  201,   51,  204,       14,     0,      0,       218,      3, Hand Count        , Not Applicable    ,        0,     103,       107,        0,        0,        0,        2,       1,       0,        0,        0,       0,      69,       130,        0,       0,      0,     94,      107,       0,             140,       0,            136,       0,           124,                 56,       0,                141,       0,             102,            63,       0,                   72,              89,        0, , 
1350140, MORRISON TWP                        ,   , 08, 03B, 04, 00,           0001, 00, 00, N, O, Morrison township                          , 09,   135, 0140, 01, 44278,  111,   17,  104,        6,     0,      0,       110,      3, Hand Count        , Not Applicable    ,        0,      74,        31,        0,        0,        1,        3,       1,       0,        0,        2,       0,      49,        51,        0,       0,      0,     60,       45,       1,              70,       0,             65,       0,            46,                 37,       0,                 66,       0,              38,            38,       0,                   39,              37,        0, , 
1400145, NORDLAND TWP                        ,   , 08, 03B, 02, 00,           0001, 00, 00, N, O, Nordland township                          , 09,   140, 0145, 01, 46546,  627,   89,  540,       83,     0,      0,       623,      2, Precinct Tabulator, Model 100         ,        0,     326,       285,        0,        0,        1,        4,       1,       0,        1,       10,       0,     239,       345,        0,       0,      0,    298,      304,       0,             420,       1,            407,       3,           359,                183,       0,                403,       2,             321,           167,       0,                  196,             282,        0, , 
1450150, PALISADE                            ,   , 08, 03B, 05, 00,           0001, 00, 00, N, O, Palisade city                              , 09,   145, 0150, 01, 49498,   93,   23,   87,       13,     0,      0,       100,      3, Hand Count        , Not Applicable    ,        0,      36,        63,        0,        0,        0,        0,       0,       0,        0,        0,       0,      19,        73,        0,       0,      0,     29,       66,       0,              82,       0,             79,       0,            58,                 29,       0,                 79,       0,              48,            39,       0,                   45,              43,        0, , 
1500155, PLINY TWP                           ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Pliny township                             , 09,   150, 0155, 01, 51694,   67,    7,   55,        3,     0,      0,        58,      3, Hand Count        , Not Applicable    ,        0,      41,        17,        0,        0,        0,        0,       0,       0,        0,        0,       0,      32,        24,        0,       0,      0,     36,       17,       0,              37,       0,             36,       0,            27,                 22,       0,                 35,       0,              21,            20,       0,                   27,              15,        0, , 
1550160, RICE RIVER TWP                      ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Rice River township                        , 09,   155, 0160, 01, 54106,   97,   11,   86,        3,     3,      0,        92,      3, Hand Count        , Not Applicable    ,        0,      50,        38,        0,        0,        0,        2,       0,       0,        0,        5,       0,      29,        51,        0,       0,      0,     43,       45,       0,              60,       0,             59,       0,            50,                 23,       0,                 59,       0,              41,            23,       0,                   20,              43,        0, , 
1600165, SALO TWP                            ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Salo township                              , 09,   160, 0165, 01, 58270,   58,    8,   51,        4,     0,      0,        55,      3, Hand Count        , Not Applicable    ,        0,      20,        34,        0,        0,        0,        1,       0,       0,        0,        0,       0,      17,        35,        0,       0,      0,     18,       31,       0,              24,       0,             24,       0,            22,                 15,       0,                 22,       0,              14,            17,       0,                   17,              12,        0, , 
1650170, SEAVEY TWP                          ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Seavey township                            , 09,   165, 0170, 01, 59134,   47,    2,   37,        3,     0,      0,        40,      3, Hand Count        , Not Applicable    ,        0,      22,        16,        0,        0,        0,        1,       0,       0,        0,        1,       0,      16,        22,        0,       0,      0,     20,       18,       0,              28,       0,             27,       0,            21,                 13,       0,                 25,       0,              17,            13,       0,                   13,              15,        0, , 
1700175, SHAMROCK TWP                        ,   , 08, 03B, 04, 00,           0004, 00, 00, N, O, Shamrock township                          , 09,   170, 0175, 01, 59368,  822,  116,  668,      116,     0,      0,       784,      2, Precinct Tabulator, Model 100         ,        0,     389,       390,        0,        0,        0,        3,       0,       0,        1,       14,       0,     267,       465,        0,       0,      0,    339,      408,       2,             502,       2,            491,       1,           439,                210,       1,                491,       1,             312,           254,       1,                  241,             313,        1, , 
1750180, SPALDING TWP                        ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Spalding township                          , 09,   175, 0180, 01, 61546,  127,   44,  126,        1,     0,      0,       127,      3, Hand Count        , Not Applicable    ,        0,      35,        87,        0,        2,        0,        2,       0,       0,        0,        1,       0,      22,        94,        0,       0,      0,     32,       80,       0,              69,       0,             65,       0,            59,                 30,       0,                 65,       0,              47,            32,       0,                   33,              43,        0, , 
1800185, SPENCER TWP                         ,   , 08, 03B, 01, 00,           0001, 00, 00, N, O, Spencer township                           , 09,   180, 0185, 01, 61654,  301,   63,  300,       24,     0,      0,       324,      2, Precinct Tabulator, Model 100         ,        1,     184,       134,        0,        0,        0,        2,       0,       0,        2,        8,       0,     110,       180,        2,       0,      0,    163,      141,       1,             206,       1,            202,       1,           188,                 83,       1,                204,       1,             150,            82,       1,                   87,             140,        1, , 
1850190, TAMARACK                            ,   , 08, 03B, 04, 00,           0004, 00, 00, N, O, Tamarack city                              , 09,   185, 0190, 01, 64156,   42,    9,   42,        0,     0,      0,        42,      3, Hand Count        , Not Applicable    ,        0,      13,        26,        0,        0,        0,        1,       1,       0,        0,        1,       0,      10,        29,        0,       0,      0,     13,       29,       0,              25,       0,             25,       0,            23,                  5,       0,                 23,       0,              15,            12,       0,                   11,              15,        0, , 
1900195, TURNER TWP                          ,   , 08, 03B, 05, 00,           0004, 00, 00, N, O, Turner township                            , 09,   190, 0195, 01, 65722,  125,   14,  103,       12,     0,      0,       115,      3, Hand Count        , Not Applicable    ,        0,      47,        65,        0,        0,        0,        0,       0,       0,        0,        0,       0,      40,        66,        0,       0,      0,     48,       59,       0,              77,       0,             77,       0,            67,                 26,       0,                 73,       0,              54,            29,       0,                   30,              47,        0, , 
1950200, VERDON TWP                          ,   , 08, 03B, 05, 00,           0001, 00, 00, N, O, Verdon township                            , 09,   195, 0200, 01, 66748,   37,    4,   29,        3,     0,      0,        32,      3, Hand Count        , Not Applicable    ,        1,      14,        17,        0,        0,        0,        0,       0,       0,        0,        1,       0,      10,        18,        0,       0,      0,     12,       15,       0,              12,       0,             11,       0,            13,                  7,       0,                 10,       0,              11,             8,       0,                    9,               9,        0, , 
2000205, WAGNER TWP                          ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Wagner township                            , 09,   200, 0205, 01, 67540,  216,   28,  183,       22,     5,      0,       210,      3, Hand Count        , Not Applicable    ,        0,      91,       106,        0,        0,        0,        2,       3,       1,        5,        2,       0,      60,       132,        0,       0,      0,     86,      105,       0,             132,       0,            130,       0,           102,                 65,       0,                132,       0,              87,            63,       0,                   68,              78,        0, , 
2050210, WAUKENABO TWP                       ,   , 08, 03B, 05, 00,           0001, 00, 00, N, O, Waukenabo township                         , 09,   205, 0210, 01, 68692,  223,   34,  196,       22,     0,      0,       218,      2, Precinct Tabulator, Model 100         ,        1,     118,        93,        0,        0,        1,        2,       1,       0,        1,        5,       0,      85,       117,        0,       0,      0,    109,       98,       0,             141,       0,            140,       0,           109,                 64,       0,                137,       0,              69,            85,       0,                   76,              75,        0, , 
2100215, WEALTHWOOD TWP                      ,   , 08, 03B, 02, 00,           0001, 00, 00, N, O, Wealthwood township                        , 09,   210, 0215, 01, 68872,  206,   24,  176,       23,     0,      0,       199,      3, Hand Count        , Not Applicable    ,        0,      77,       118,        0,        0,        0,        1,       0,       1,        0,        3,       0,      65,       121,        0,       0,      0,     76,      117,       0,             139,       0,            135,       0,           124,                 55,       0,                138,       0,              65,            83,       0,                   81,              84,        0, , 
2150220, WHITE PINE TWP                      ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, White Pine township                        , 09,   215, 0220, 01, 70132,   23,    4,   17,        0,     0,      0,        17,      3, Hand Count        , Not Applicable    ,        0,       9,         8,        0,        0,        0,        0,       0,       0,        0,        1,       0,       4,        11,        0,       0,      0,      5,       10,       0,              13,       0,             13,       0,            12,                  2,       0,                 13,       0,              13,             1,       0,                    1,              13,        0, , 
2200225, WILLIAMS TWP                        ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Williams township                          , 09,   220, 0225, 01, 70384,   78,   12,   71,        4,     0,      0,        75,      3, Hand Count        , Not Applicable    ,        0,      34,        35,        0,        0,        1,        2,       2,       0,        0,        2,       0,      23,        44,        0,       0,      0,     28,       42,       0,              39,       1,             35,       1,            32,                 25,       0,                 37,       0,              23,            22,       0,                   23,              22,        0, , 
2250230, WORKMAN TWP                         ,   , 08, 03B, 04, 00,           0001, 00, 00, N, O, Workman township                           , 09,   225, 0230, 01, 71716,  128,   14,  104,       17,     0,      0,       121,      3, Hand Count        , Not Applicable    ,        1,      55,        59,        0,        0,        1,        2,       0,       0,        0,        2,       0,      31,        82,        0,       0,      0,     48,       70,       0,              88,       1,             91,       0,            64,                 43,       0,                 87,       1,              56,            40,       0,                   43,              53,        0, , 
1420240, NORTHEAST UNORG TOWNS               ,   , 08, 03B, 05, 00,           0004, 00, 00, N, O, Northeast Aitkin Unorganized               , 09,   142, 0240, 01, 46890,   18,    3,   19,        0,     0,      0,        19,      3, Hand Count        , Not Applicable    ,        0,      14,         5,        0,        0,        0,        0,       0,       0,        0,        0,       0,      10,         9,        0,       0,      0,     12,        7,       0,              12,       1,             12,       1,            11,                  5,       0,                 11,       1,               8,             8,       1,                    7,               8,        1, , 
1430255, UNORG TOWN 48-27 (BLIND LAKE UNORG) ,   , 08, 03B, 05, 00,           0001, 00, 00, N, O, Northwest Aitkin Unorganized               , 09,   143, 0255, 01, 47342,   22,    3,   17,        3,     0,      0,        20,      2, Precinct Tabulator, Model 100         ,        0,       9,        11,        0,        0,        0,        0,       0,       0,        0,        0,       0,       7,        13,        0,       0,      0,      9,       11,       0,              15,       0,             14,       0,             8,                  9,       0,                 15,       0,               8,             8,       0,                    8,               7,        0, , 
1430260, UNORG NW AITKIN P2                  ,   , 08, 03B, 05, 00,           0001, 00, 00, N, O, Northwest Aitkin Unorganized               , 09,   143, 0260, 01, 47342,   78,    7,   73,        1,     0,      0,        74,      2, Precinct Tabulator, Model 100         ,        0,      33,        38,        0,        0,        0,        2,       0,       0,        1,        4,       0,      26,        43,        0,       0,      0,     29,       45,       0,              52,       0,             53,       0,            44,                 24,       0,                 53,       0,              34,            28,       0,                   27,              35,        0, , 
1430285, UNORG TOWN 51-27 (LEMAY UNORG)      ,   , 08, 03B, 05, 00,           0002, 00, 00, N, O, Northwest Aitkin Unorganized               , 09,   143, 0285, 01, 47342,   22,    6,   28,        0,     0,      0,        28,      3, Hand Count        , Not Applicable    ,        0,      13,        14,        0,        0,        0,        1,       0,       0,        0,        0,       0,       7,        19,        0,       0,      0,      8,       19,       0,              21,       0,             18,       0,            17,                  7,       0,                 19,       0,              15,             9,       0,                   11,              13,        0, , 
1430290, UNORG NW AITKIN P1                  ,   , 08, 03B, 05, 00,           0002, 00, 00, N, O, Northwest Aitkin Unorganized               , 09,   143, 0290, 01, 47342,   53,   12,   54,        2,     0,      0,        56,      2, Precinct Tabulator, Model 100         ,        0,      45,         9,        0,        0,        0,        1,       0,       1,        0,        1,       0,      25,        28,        0,       0,      0,     35,       19,       0,              44,       0,             43,       0,            29,                 24,       0,                 40,       0,              21,            29,       0,                   26,              19,        0, , 
0041010, ANDOVER P-01                        ,   , 06, 49A, 01, 00,           0015, 00, 00, N, O, Andover city                               , 10,   004, 1010, 02,  1486, 1992,  341, 1880,      125,     2,      1,      2008,      2, Precinct Tabulator, Accuvote (Diebold),        2,    1248,       725,        0,        0,        2,       12,       7,       6,        4,        0,       0,    1167,       815,        1,       0,      0,   1166,      696,       0,            1134,      12,           1121,       8,           959,                713,       2,               1102,       8,             853,           614,       2,                  613,             783,        3, , 
0041020, ANDOVER P-02                        ,   , 06, 49A, 01, 00,           0011, 00, 00, N, O, Andover city                               , 10,   004, 1020, 02,  1486, 1847,  310, 1726,      141,     0,      0,      1867,      2, Precinct Tabulator, Accuvote (Diebold),        2,    1162,       684,        0,        0,        2,       10,       3,       2,        1,        0,       0,    1033,       805,        1,       0,      0,   1093,      655,       2,            1142,      10,           1127,       8,           923,                635,       1,               1118,      11,             802,           578,       3,                  568,             765,        4, , 
0041030, ANDOVER P-03                        ,   , 06, 49B, 05, 00,           0011, 00, 00, N, O, Andover city                               , 10,   004, 1030, 02,  1486, 1515,  264, 1407,       73,     0,      2,      1482,      2, Precinct Tabulator, Accuvote (Diebold),        1,     880,       591,        0,        0,        1,        5,       2,       0,        0,        0,       0,     800,       657,        0,       0,      0,    929,      470,       3,             884,      11,            864,       9,           742,                502,       2,                863,      10,             674,           413,       3,                  434,             611,        2, , 
0041040, ANDOVER P-04                        ,   , 06, 49A, 01, 00,           0011, 00, 00, N, O, Andover city                               , 10,   004, 1040, 02,  1486,  953,  171,  915,       55,     0,      0,       970,      2, Precinct Tabulator, Accuvote (Diebold),        0,     604,       360,        0,        0,        0,        1,       2,       1,        0,        0,       0,     553,       394,        0,       0,      0,    563,      333,       2,             575,       3,            569,       3,           478,                317,       0,                564,       3,             413,           282,       0,                  259,             409,        0, , 
