Precinct and Voting District Information,,,,,,,,,,,,,,,,,,1 (County Statistics),,,,,,Voting System Information,,,US Senate,,,,,,,US Congressional Districts 1 - 8,,,,,,MN State Senate Districts 1 - 67,,,,,,,MN State House Districts 1A - 67B,,,,,,,Governor and Lieutenant Governor,,,,,,,,Secretary of State,,,,,Attorney General,,,,State Auditor,,,,,ASSOCIATE JUSTICE-SUPREME CT 3,,,APPEALS 1,,APPEALS 5,,APPEALS 8,,APPEALS 9,,APPEALS 10,,APPEALS 15,,APPEALS 16,,,1ST DISTRICT COURT 1,,,1ST DISTRICT COURT 5,,,1ST DISTRICT COURT 28,,,1ST DISTRICT COURT 31,,,2ND DISTRICT COURT 21,,,4TH DISTRICT COURT 12,,,4TH DISTRICT COURT 46,,,4TH DISTRICT COURT 47,,,4TH DISTRICT COURT 53,,,4TH DISTRICT COURT 56,,,4TH DISTRICT COURT 58,,,4TH DISTRICT COURT 60,,,7TH DISTRICT COURT 17,,,9TH DISTRICT COURT 4,,,9TH DISTRICT COURT 12,,,10TH DISTRICT COURT 14,,
270010040,FARM ISLAND TWP.,,08,03B,02,00,001,00,00,N,O,Farm Island township,09,040,0040,01,270010040,743,49,549,72,0,621,2,Precinct Tabulator,Model 100,2,14,315,15,275,0,0,0,0,249,361,0,0,0,0,345,260,0,0,0,0,0,328,271,0,0,0,7,114,283,207,2,2,0,0,4,37,321,235,0,31,245,322,0,6,66,259,256,0,336,157,0,419,1,421,0,410,0,411,0,409,0,406,0,165,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,250,0,312,167,0,0,0,0
270010045,FLEMING TWP.,,08,03B,04,00,001,00,00,N,O,Fleming township,09,045,0045,01,270010045,229,21,171,22,0,193,3,Hand Count,Not Applicable,1,3,96,4,87,0,0,0,0,73,116,0,0,0,0,101,87,0,0,2,0,0,95,90,0,0,0,2,24,85,78,0,1,0,1,3,4,94,88,0,7,77,100,0,2,12,87,80,0,87,66,0,134,0,129,0,128,0,124,0,126,0,122,0,81,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,61,0,93,50,0,0,0,0
270010050,GLEN TWP.,,08,03B,03,00,001,00,00,N,O,Glen township,09,050,0050,01,270010050,297,14,236,24,0,260,2,Precinct Tabulator,Model 100,1,8,108,2,141,0,0,0,0,71,180,0,0,0,0,124,129,0,0,1,0,0,106,139,0,0,0,4,38,111,100,1,1,0,0,5,19,109,114,0,19,79,154,0,7,25,81,128,0,122,74,0,166,1,167,0,165,0,162,0,166,0,159,0,69,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,84,0,127,67,0,0,0,0
270010055,HAUGEN TWP.,,08,03B,04,00,004,00,00,N,O,Haugen township,09,055,0055,01,270010055,112,9,84,9,0,93,3,Hand Count,Not Applicable,2,0,32,0,52,0,0,0,0,37,55,0,0,0,0,44,47,0,0,0,0,0,38,53,0,0,0,5,8,37,41,0,0,0,0,1,5,41,42,0,2,31,54,0,5,7,37,38,0,47,30,0,69,0,67,0,68,0,68,0,67,0,67,0,29,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,0,37,36,0,0,0,0
270010060,HAZELTON TWP.,,08,03B,02,00,001,00,00,N,O,Hazelton township,09,060,0060,01,270010060,546,37,404,45,0,449,2,Precinct Tabulator,Model 100,2,8,250,5,179,1,0,0,0,207,237,0,0,0,0,257,180,0,0,0,0,0,244,191,0,0,0,1,68,236,135,0,2,0,0,4,29,246,156,0,16,206,208,0,5,31,207,186,0,223,118,0,306,2,304,0,295,2,294,1,298,1,296,0,174,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,149,1,225,98,1,0,0,0
270010065,HILL CITY,,08,03B,05,00,002,00,00,N,O,Hill City city,09,065,0065,01,270010065,344,28,224,17,0,241,2,Precinct Tabulator,Model 100,2,11,88,4,133,0,0,0,0,59,176,0,1,0,0,70,164,0,0,0,0,0,111,127,0,0,0,3,27,78,121,2,2,1,0,6,13,82,135,1,5,80,145,1,4,17,82,125,1,124,75,0,175,0,176,0,171,0,170,0,171,0,167,0,97,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,81,1,130,60,0,0,0,0
270010070,HILL LAKE TWP.,,08,03B,05,00,002,00,00,N,O,Hill Lake township,09,070,0070,01,270010070,250,18,178,7,0,185,2,Precinct Tabulator,Model 100,0,4,78,3,98,1,1,0,0,52,126,0,0,0,0,61,115,0,0,0,0,0,83,98,0,0,0,0,28,68,85,1,0,0,0,0,8,69,96,0,8,52,113,0,3,14,57,97,0,80,69,0,127,0,129,0,128,1,126,0,127,0,123,1,64,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,51,0,88,66,0,0,0,0
270010075,IDUN TWP.,,08,03B,03,00,004,00,00,N,O,Idun township,09,075,0075,01,270010075,122,14,102,3,0,105,3,Hand Count,Not Applicable,1,5,41,1,57,0,0,0,0,22,81,0,0,0,0,33,62,0,0,0,0,0,28,71,0,0,0,0,18,34,46,0,1,0,0,2,11,32,54,0,9,27,61,0,2,9,28,56,0,41,43,0,71,0,75,0,73,0,73,0,71,0,72,0,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,0,47,34,0,0,0,0
270010080,JEVNE TWP.,,08,03B,04,00,004,00,00,N,O,Jevne township,09,080,0080,01,270010080,195,11,137,4,0,141,3,Hand Count,Not Applicable,1,3,73,2,58,1,0,0,0,52,84,0,0,0,0,66,68,0,0,0,0,0,66,72,0,0,0,1,23,62,53,0,0,0,0,1,12,65,56,0,5,47,83,0,2,11,57,58,0,73,39,0,100,0,104,0,102,0,102,0,102,0,102,0,33,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,0,66,32,1,0,0,0
270010082,Unorg. 45-24 Jewett,,08,03B,03,00,004,00,00,N,O,Jewett Unorganized,09,082,0082,01,270010082,21,0,16,0,0,16,3,Hand Count,Not Applicable,0,3,6,0,6,1,0,0,0,5,11,0,0,0,0,7,8,0,0,0,0,0,6,9,0,0,0,1,1,7,4,2,0,0,0,0,1,7,6,0,1,7,7,0,0,1,7,8,0,6,6,0,11,0,11,0,11,0,11,0,13,0,11,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,7,0,0,0,0
270010085,KIMBERLY TWP.,,08,03B,03,00,001,00,00,N,O,Kimberly township,09,085,0085,01,270010085,151,11,113,2,0,115,2,Precinct Tabulator,Model 100,1,4,61,0,48,0,0,0,0,42,69,0,0,0,0,67,46,0,0,0,0,0,49,59,0,0,0,1,22,57,31,0,2,0,0,1,9,57,43,0,4,46,57,0,2,14,43,48,0,47,37,0,68,0,66,0,66,0,65,0,66,0,66,0,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,33,0,46,33,0,0,0,0
270010090,LAKESIDE TWP.,,08,03B,03,00,001,00,00,N,O,Lakeside township,09,090,0090,01,270010090,360,36,271,13,0,284,2,Precinct Tabulator,Model 100,4,12,146,2,116,0,0,0,0,106,164,0,0,0,0,128,143,0,0,0,0,0,133,133,0,0,0,8,64,127,80,0,2,0,0,6,27,136,108,0,16,112,147,0,6,35,101,128,1,146,87,1,213,1,210,2,209,3,207,3,210,3,207,2,85,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,110,0,122,101,1,0,0,0
270010095,LEE TWP.,,08,03B,03,00,001,00,00,N,O,Lee township,09,095,0095,01,270010095,37,2,28,3,0,31,3,Hand Count,Not Applicable,0,1,17,0,13,0,0,0,0,12,15,0,0,0,0,17,10,0,0,0,0,0,15,13,0,0,0,0,1,15,15,0,0,0,0,0,4,11,13,0,0,14,15,0,0,3,12,14,0,6,9,0,8,0,7,0,7,0,7,0,6,0,7,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,6,6,0,0,0,0
270010100,LIBBY TWP. E,,08,03B,05,00,004,00,00,N,O,Libby township,09,100,0100,01,270010100,21,0,16,0,0,16,3,Hand Count,Not Applicable,0,0,6,4,6,0,0,0,0,4,12,0,0,0,0,6,7,0,0,0,0,0,8,7,0,0,0,0,6,5,5,0,0,0,0,0,4,5,7,0,2,3,9,0,0,5,2,7,0,7,6,0,13,0,13,0,13,0,12,1,12,0,11,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,9,4,0,0,0,0
270010105,LIBBY TWP. W,,08,03B,05,00,001,00,00,N,O,Libby township,09,100,0105,01,270010105,14,0,0,10,0,10,3,Hand Count,Not Applicable,0,0,3,1,2,0,4,0,0,3,7,0,0,0,0,4,5,0,0,0,0,0,0,8,0,0,0,0,2,1,7,0,0,0,0,0,2,1,7,0,0,2,8,0,0,2,0,5,0,3,0,0,3,0,3,0,3,0,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
270010110,LOGAN TWP.,,08,03B,05,00,001,00,00,N,O,Logan township,09,105,0110,01,270010110,155,5,95,4,0,99,3,Hand Count,Not Applicable,0,5,44,0,50,0,0,0,0,32,64,0,0,0,0,55,40,0,0,0,0,0,40,52,0,0,0,1,11,39,45,0,1,1,0,1,7,36,54,0,7,34,55,0,2,13,35,45,0,51,29,0,72,0,72,0,71,0,71,0,71,0,70,0,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,0,52,25,0,0,0,0
270010115,MCGRATH,,08,03B,03,00,004,00,00,N,O,McGrath city,09,110,0115,01,270010115,42,4,39,2,0,41,3,Hand Count,Not Applicable,0,3,21,0,17,0,0,0,0,13,26,0,0,0,0,16,23,0,0,0,0,0,18,20,0,0,0,0,8,19,12,0,2,0,0,0,4,16,21,0,1,13,25,0,1,6,16,17,0,16,13,0,28,1,28,1,28,1,28,1,28,1,28,1,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,19,9,0,0,0,0
270010120,MCGREGOR,,08,03B,04,00,004,00,00,N,O,McGregor city,09,114,0120,01,270010120,185,18,160,3,0,163,3,Hand Count,Not Applicable,1,6,66,0,86,0,0,0,0,42,107,0,0,0,0,72,81,0,0,0,0,0,66,87,0,0,0,1,26,52,80,0,0,0,0,4,8,59,77,0,13,46,88,0,5,13,53,76,0,93,36,0,112,0,109,0,110,0,110,0,107,0,104,0,54,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,51,0,79,35,0,0,0,0
270010125,MCGREGOR TWP.,,08,03B,04,00,004,00,00,N,O,McGregor township,09,115,0125,01,270010125,73,8,41,5,0,46,3,Hand Count,Not Applicable,0,4,20,0,21,0,0,0,0,14,30,0,0,0,0,25,20,0,0,0,0,0,24,22,0,0,0,1,6,20,18,0,1,0,0,0,2,22,18,0,3,18,23,0,0,5,18,18,0,17,13,0,20,0,20,0,20,0,20,0,20,0,20,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,14,11,0,0,0,0
270010130,MACVILLE TWP.,,08,03B,05,00,002,00,00,N,O,Macville township,09,125,0130,01,270010130,141,6,89,8,0,97,3,Hand Count,Not Applicable,1,6,34,0,48,0,0,0,0,31,60,0,0,0,0,34,51,0,0,1,0,0,34,52,0,0,0,1,20,35,31,0,2,1,0,2,5,28,52,0,10,23,50,0,5,12,21,44,0,31,34,0,57,0,58,0,53,0,55,0,54,0,53,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0,41,27,0,0,0,0
270010132,MILLWARD TWP.,,08,03B,03,00,004,00,00,N,O,Millward township,09,132,0132,01,270010132,35,0,19,0,0,19,3,Hand Count,Not Applicable,0,0,8,2,5,0,0,0,0,9,9,0,0,0,0,10,7,0,0,0,0,0,8,9,0,0,0,0,5,6,8,0,0,0,0,0,1,8,10,0,2,6,10,0,1,3,7,6,0,8,7,0,12,0,12,0,11,0,11,0,11,0,11,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,8,4,0,0,0,0
270010135,MALMO TWP.,,08,03B,02,00,001,00,00,N,O,Malmo township,09,130,0135,01,270010135,200,20,155,11,0,166,3,Hand Count,Not Applicable,1,5,57,4,97,0,0,0,0,50,113,0,0,0,0,67,95,0,0,0,0,0,77,84,0,0,0,1,33,63,61,1,3,1,0,3,10,59,84,0,9,49,98,0,4,15,54,80,0,73,47,0,106,0,107,0,107,0,101,0,102,0,104,0,48,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,55,0,73,44,0,0,0,0
270010140,MORRISON TWP.,,08,03B,04,00,001,00,00,N,O,Morrison township,09,135,0140,01,270010140,119,6,90,2,0,92,3,Hand Count,Not Applicable,0,3,51,0,36,1,0,0,0,34,50,0,0,0,0,48,41,0,0,1,0,0,51,38,0,0,0,4,16,44,23,1,2,0,0,1,10,42,36,0,8,39,40,0,1,14,38,33,0,43,28,0,65,0,61,0,60,0,61,0,62,0,60,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,0,37,32,0,0,0,0
270010145,NORDLAND TWP.,,08,03B,02,00,001,00,00,N,O,Nordland township,09,140,0145,01,270010145,617,41,504,42,0,546,2,Precinct Tabulator,Model 100,1,25,259,3,252,0,0,0,0,203,329,0,0,0,0,298,230,0,0,1,0,0,278,255,0,0,0,11,116,227,182,1,1,1,0,9,38,262,216,0,30,206,285,0,14,50,212,235,0,257,154,0,360,0,353,0,350,1,347,0,342,0,344,0,174,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,190,0,268,134,0,0,0,0
270010150,PALISADE,,08,03B,05,00,001,00,00,N,O,Palisade city,09,145,0150,01,270010150,101,10,79,6,0,85,3,Hand Count,Not Applicable,1,3,29,0,47,0,0,0,0,15,66,0,0,0,0,43,37,0,0,0,0,0,30,51,0,0,0,1,19,24,34,2,1,1,0,5,6,19,51,0,5,23,55,0,1,3,20,47,0,41,29,0,60,0,59,0,58,0,55,0,57,0,56,0,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,27,0,41,24,0,0,0,0
270010155,PLINY TWP.,,08,03B,03,00,004,00,00,N,O,Pliny township,09,150,0155,01,270010155,72,5,53,0,0,53,3,Hand Count,Not Applicable,0,1,32,0,20,0,0,0,0,25,27,0,0,0,0,28,19,0,0,0,0,0,30,18,0,0,0,3,6,32,12,0,0,0,0,2,6,29,15,0,5,25,20,0,3,4,29,14,0,27,13,0,33,0,33,0,31,0,31,0,31,0,31,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,0,21,15,0,0,0,0
270010160,RICE RIVER TWP.,,08,03B,03,00,004,00,00,N,O,Rice River township,09,155,0160,01,270010160,100,3,74,1,0,75,3,Hand Count,Not Applicable,2,3,33,0,35,1,0,0,0,24,46,0,0,0,0,37,34,0,0,0,0,0,31,41,0,0,0,4,8,32,27,0,0,0,0,6,4,29,32,0,7,24,37,0,3,11,21,31,0,33,18,0,48,0,46,0,48,0,45,0,44,0,45,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,15,0,35,17,0,0,0,0
